Timestamp, Open, Close, High, Low, Volume
1540198740000,	9.7724,	9.7724,	9.7724, 9.7724,	60
1540198620000,	9.7725,	9.7725,	9.7725, 9.7725,	83.28
1540198500000,	9.7657,	9.7657,	9.7657, 9.7657,	60
1540198080000,	9.7648,	9.7648,	9.7648, 9.7648,	10
1540197960000,	9.7673,	9.7554,	9.7673, 9.7554,	52.7643
1540197780000,	9.7693,	9.7726,	9.7726, 9.7693,	500
1540197600000,	9.7726,	9.7657,	9.7726, 9.7657,	146.20260073
1540197480000,	9.7692,	9.7692,	9.7692, 9.7692,	2.9692136
1540197300000,	9.7708,	9.7708,	9.7708, 9.7708,	2.7633
1540197120000,	9.7709,	9.7709,	9.7709, 9.7709,	5
1540196700000,	9.7728,	9.7728,	9.7728, 9.7728,	166
1540196400000,	9.7555,	9.7555,	9.7555, 9.7555,	7
1540196340000,	9.7557,	9.7555,	9.7557, 9.7555,	100
1540196280000,	9.7746,	9.7746,	9.7746, 9.7746,	5.975e-05
1540196220000,	9.7746,	9.7746,	9.7746, 9.7746,	47.611
1540195860000,	9.7794,	9.7794,	9.7794, 9.7794,	8.88273357
1540195800000,	9.7842,	9.7776,	9.7882, 9.7761,	1860.19280242
1540195740000,	9.7998,	9.7975,	9.7998, 9.7975,	9.8
1540195560000,	9.825, 9.825, 9.825, 9.825, 0.00061096
1540195500000,	9.8251,	9.825,	9.8251, 9.825, 204.513
1540195320000,	9.8269,	9.8269,	9.8269, 9.8269,	2.69460001
1540195140000,	9.8254,	9.8254,	9.8254, 9.8254,	1264.20951802
1540194900000,	9.8254,	9.8254,9.8254, 9.8254, 132.4794
